from,to
Fantastic Force#Original team,Invisible Woman
Fantastic Force#Original team,She-Hulk
Fantastic Force#Original team,Mister Fantastic
Fantastic Force#Original team,Franklin Richards (Fantastic Four)
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Doctor Strange
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Luke Cage
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Batman
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Omega Red
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Invisible Woman
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Moira MacTaggart
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Hercules (Marvel Comics)
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Hope Summers (comics)
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Sunfire (comics)
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Dust (comics)
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Madelyne Pryor
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Cannonball (comics)
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Krakoa
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Betsy Braddock
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Kid Omega
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Mesmero
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Graymalkin
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Spider-Man
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Romulus (Marvel Comics)
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Jubilee (comics)
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Professor X
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Bullseye (comics)
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Abraham Cornelius
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Daken
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Betty Ross
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Cable (comics)
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Mariko Yashida
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Mister X (Marvel Comics)
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Lady Deathstrike
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Magneto (Marvel Comics)
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Layla Miller
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Nightcrawler (comics)
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Iceman (Marvel Comics)
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Carol Danvers
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),High Evolutionary
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Silver Fox (comics)
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Emma Frost
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Old Man Logan
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Silver Samurai
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Mister Sinister
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Master Mold
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Guardian (Marvel Comics)
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),White Tiger (comics)
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Galactus
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Domino (comics)
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Elixir (comics)
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Gambit (Marvel Comics)
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Nimrod (comics)
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Warpath (comics)
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Doctor Octopus
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Elsie-Dee
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Daredevil (Marvel Comics character)
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Danielle Moonstar
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Thing (comics)
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Quicksilver (comics)
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Colossus (comics)
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Cyclops (Marvel Comics)
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Rogue (comics)
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Oya (comics)
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Apocalypse (comics)
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Deadpool
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Sentinel (comics)
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Punisher
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Amanda Sefton
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Anole (comics)
