character,universe
Fantastic Force#Original team,marvel
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),marvel
Apollo (Marvel Comics),marvel
Killraven,marvel
Cyber (Marvel Comics),marvel
Zarathos,marvel
Kiwi Black,marvel
Ani-Men#Original Ani-Men,marvel
Fasaud,marvel
Motormouth (comics),marvel
Agent X (Marvel Comics),marvel
Leech (comics),marvel
Jeryn Hogarth,marvel
Recorder 451,marvel
Spyne,marvel
Ronan the Accuser,marvel
Marco Delgado (comics),marvel
Jigsaw (Marvel Comics),marvel
Darkhawk,marvel
Pluto (Marvel Comics),marvel
Deathlok,marvel
Dragon Man (comics),marvel
Blue Diamond (comics),marvel
Blue Streak (comics),marvel
Psycho-Man,marvel
Mother Night (comics),marvel
Holden Radcliffe,marvel
Dragon Lord (comics),marvel
Bethany Cabe,marvel
Gideon Mace,marvel
Lady Lotus,marvel
Shalla-Bal,marvel
Alicia Masters,marvel
Killer Shrike,marvel
Dallas Riordan,marvel
Delphyne Gorgon,marvel
Comet Man,marvel
Carol Danvers,marvel
Beetle (comics),marvel
ISAAC (comics),marvel
GoGo Tomago,marvel
Ultron,marvel
Sin (Marvel Comics),marvel
Midnight Sun (Marvel Comics),marvel
Shard (comics),marvel
Vengeance (comics),marvel
Shortpack,marvel
Blue Marvel,marvel
Isaiah Bradley,marvel
Captain (comics),marvel
Maelstrom (comics),marvel
Timebroker,marvel
Predator X (Marvel Comics),marvel
Obnoxio the Clown,marvel
Iron Cross (Marvel Comics),marvel
Doorman (comics),marvel
Black Tarantula,marvel
Man Mountain Marko,marvel
Ulik,marvel
Lightmaster,marvel
Apocalypse (comics),marvel
Oya (comics),marvel
Red Ghost (character),marvel
Voice (comics),marvel
Hiroim,marvel
Victor Mancha,marvel
Ymir (Marvel Comics),marvel
Shanna the She-Devil,marvel
Val Rhymin,marvel
Supreme Intelligence,marvel
Free Spirit (comics),marvel
Man-Thing,marvel
Venus (Marvel Comics),marvel
Troll (Marvel Comics),marvel
Man-Bull,marvel
Terror Inc.,marvel
Yukio (comics),marvel
Ruby Thursday,marvel
Cassandra Nova,marvel
Berzerker (comics),marvel
Crossbones (comics),marvel
Tamara Rahn,marvel
F.R.I.D.A.Y.,marvel
Stryfe,marvel
Al MacKenzie,marvel
Yondu,marvel
Calypso (comics),marvel
Black Mamba (comics),marvel
Ma Gnucci,marvel
Vision (Timely Comics),marvel
Doctor Demonicus,marvel
Torpedo (Marvel Comics),marvel
Masked Raider,marvel
Lockjaw (comics),marvel
Blackwing (character),marvel
Sin-Eater (comics),marvel
Madame Web,marvel
Outlaw (comics),marvel
Maker (Reed Richards),marvel
Petra Laskov,marvel
Belasco (Marvel Comics),marvel
Primus (Marvel Comics),marvel
Hrimhari,marvel
Superia,marvel
Harry Osborn#Kindred,marvel
Red Skull,marvel
Spider-Punk,marvel
Gravity (comics),marvel
Rhino (comics),marvel
Aqueduct (comics),marvel
Pretty Boy (comics),marvel
Glory Grant,marvel
John Garrett (comics),marvel
Werner von Strucker,marvel
